command_forward,R_tau_ff_4,R_tau_ff_5,,L_tau_ff_4,L_tau_ff_5,,L_tau_actual_0,L_tau_actual_1,L_tau_actual_2,L_tau_actual_3,L_tau_actual_4,L_tau_actual_5,,R_tau_actual_0,R_tau_actual_1,R_tau_actual_2,R_tau_actual_3,R_tau_actual_4,R_tau_actual_5,,L_q_des_0,L_q_des_1,L_q_des_2,L_q_des_3,L_q_des_4,L_q_des_5,,R_q_des_0,R_q_des_1,R_q_des_2,R_q_des_3,R_q_des_4,R_q_des_5,,L_q_0,L_q_1,L_q_2,L_q_3,L_q_4,L_q_5,,R_q_0,R_q_1,R_q_2,R_q_3,R_q_4,R_q_5,,L_qd_des_0,L_qd_des_1,L_qd_des_2,L_qd_des_3,L_qd_des_4,L_qd_des_5,,R_qd_des_0,R_qd_des_1,R_qd_des_2,R_qd_des_3,R_qd_des_4,R_qd_des_5,,L_qd_0,L_qd_1,L_qd_2,L_qd_3,L_qd_4,L_qd_5,,R_qd_0,R_qd_1,R_qd_2,R_qd_3,R_qd_4,R_qd_5
0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.245689,0.306126,-0.0801769,1.16805,0,0,,0.0266743,-0.307634,0.30181,1.26595,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,-0.0461116,-0.00508347,0.0028794,0.0675801,0,0,,-0.0263435,0.0124367,0.0366735,0.0649875,0,0,
0,0,0,,0,0,,2.30741,1.0528,2.66597,-1.55349,0,0,,0.213533,-0.341531,-6.11703,-3.62617,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.245708,0.306068,-0.0796463,1.16734,0,0,,0.0270135,-0.307734,0.300463,1.26432,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.00937064,-0.0287192,0.265265,-0.353901,0,0,,0.1696,-0.0497262,-0.67358,-0.813897,0,0,
0,0,0,,0,0,,2.27929,1.06576,2.52417,-1.32859,0,0,,0.108777,-0.308461,-5.73496,-3.15417,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.24586,0.305971,-0.0785962,1.16588,0,0,,0.0276888,-0.307927,0.297817,1.26118,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.0761638,-0.0484679,0.52505,-0.729656,0,0,,0.337684,-0.0967652,-1.323,-1.57246,0,0,
0,0,0,,0,0,,2.24285,1.07758,2.37327,-1.11153,0,0,,0.0112284,-0.28107,-5.35733,-2.712,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.246157,0.30584,-0.0770426,1.16376,0,0,,0.0286509,-0.308188,0.293984,1.25674,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.1486,-0.0657164,0.776811,-1.05893,0,0,,0.481021,-0.130566,-1.91664,-2.2197,0,0,
0,0,0,,0,0,,2.20069,1.08883,2.21632,-0.90453,0,0,,-0.079681,-0.258948,-4.98385,-2.29958,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.246602,0.305677,-0.075009,1.16108,0,0,,0.0298549,-0.308494,0.289067,1.25121,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.222613,-0.0813686,1.01678,-1.34222,0,0,,0.602006,-0.152678,-2.45831,-2.76408,0,0,
0,0,0,,0,0,,2.15478,1.09991,2.05566,-0.709199,0,0,,-0.164254,-0.241785,-4.61468,-1.91683,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.247193,0.305485,-0.0725242,1.15792,0,0,,0.03126,-0.308822,0.283165,1.24478,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.295319,-0.0959403,1.24242,-1.58088,0,0,,0.702534,-0.16435,-2.95101,-3.21353,0,0,
0,0,0,,0,0,,2.05726,1.1223,1.73024,-0.357521,0,0,,-0.314854,-0.221507,-3.89134,-1.23943,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.248782,0.30502,-0.0663307,1.1505,0,0,,0.0345257,-0.309478,0.268773,1.22992,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.429822,-0.12282,1.64467,-1.93284,0,0,,0.84862,-0.161045,-3.79876,-3.85813,0,0,
0,0,0,,0,0,,2.00757,1.13377,1.56815,-0.202262,0,0,,-0.380977,-0.217915,-3.53858,-0.943911,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.249761,0.30475,-0.0626913,1.14639,0,0,,0.0363195,-0.309774,0.260458,1.22178,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.489513,-0.135305,1.8197,-2.05127,0,0,,0.896907,-0.148326,-4.1577,-4.06784,0,0,
0,0,0,,0,0,,1.95815,1.14543,1.40785,-0.0609956,0,0,,-0.440997,-0.218342,-3.1928,-0.676344,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.250848,0.304455,-0.0587375,1.14212,0,0,,0.0381802,-0.310034,0.251507,1.21336,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.543402,-0.147187,1.9769,-2.13509,0,0,,0.930325,-0.129754,-4.47566,-4.21181,0,0,
0,0,0,,0,0,,1.90947,1.15726,1.25017,0.0663173,0,0,,-0.494919,-0.222438,-2.85479,-0.435886,0,0,,0.359906,0.358638,0.0531936,1.09206,0,0,,0.0366924,-0.3244,-0.00312454,1.08627,0,0,,0.252031,0.304138,-0.0545049,1.13775,0,0,,0.0400803,-0.310247,0.241998,1.20476,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0.591301,-0.158389,2.11632,-2.18725,0,0,,0.950034,-0.106387,-4.75426,-4.29668,0,0,
